paper_id,title,first_author,authors_display,year,journal_or_venue,doi,paper_url,publication_type,related_dataset_ids,related_dataset_names,relation_to_data,pdf_status,local_record,notes,verified_date
litvinukova-2020-heart,Cells of the adult human heart,Monika Litviňuková,Monika Litviňuková et al.,2020,Nature,10.1038/s41586-020-2797-4,https://doi.org/10.1038/s41586-020-2797-4,research article,DS013,Heart Atlas,data generation and atlas release,not_uploaded; publisher license not individually verified,paper_records/litvinukova-2020-heart.md,,2026-08-21
sikkema-2023-lung-atlas,An integrated cell atlas of the lung in health and disease,Lisa Sikkema,Lisa Sikkema et al.,2023,Nature Medicine,10.1038/s41591-023-02327-2,https://doi.org/10.1038/s41591-023-02327-2,research article,DS014,Lung Atlas,atlas integration and release,not_uploaded; publisher license not individually verified,paper_records/sikkema-2023-lung-atlas.md,,2026-08-21
adamson-2016-perturb-seq,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response,Britt Adamson,Britt Adamson et al.,2016,Cell,10.1016/j.cell.2016.11.048,https://doi.org/10.1016/j.cell.2016.11.048,research article,DS015,Adamson Perturb-seq,technology and dataset release,not_uploaded; publisher license not individually verified,paper_records/adamson-2016-perturb-seq.md,,2026-08-21
norman-2019-perturb-seq,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,Thomas M. Norman,Thomas M. Norman et al.,2019,Science,10.1126/science.aax4438,https://doi.org/10.1126/science.aax4438,research article,DS016,Norman Perturb-seq,data generation and perturbation atlas,not_uploaded; publisher license not individually verified,paper_records/norman-2019-perturb-seq.md,,2026-08-21
replogle-2022-perturb-seq,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph M. Replogle,Joseph M. Replogle et al.,2022,Cell,10.1016/j.cell.2022.05.013,https://doi.org/10.1016/j.cell.2022.05.013,research article,DS017,Replogle Perturb-seq,data generation and genome-scale perturbation atlas,not_uploaded; publisher license not individually verified,paper_records/replogle-2022-perturb-seq.md,,2026-08-21
dixit-2016-perturb-seq,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,Atray Dixit,Atray Dixit et al.,2016,Cell,10.1016/j.cell.2016.11.038,https://doi.org/10.1016/j.cell.2016.11.038,research article,DS018,Dixit Perturb-seq,technology and dataset release,not_uploaded; publisher license not individually verified,paper_records/dixit-2016-perturb-seq.md,,2026-08-21
srivatsan-2020-sci-plex,Massively multiplex chemical transcriptomics at single-cell resolution,Sanjay R. Srivatsan,Sanjay R. Srivatsan et al.,2020,Science,10.1126/science.aax6234,https://doi.org/10.1126/science.aax6234,research article,DS019,Srivatsan chemical perturbation,technology and dataset release,not_uploaded; publisher license not individually verified,paper_records/srivatsan-2020-sci-plex.md,,2026-08-21
yao-2023-mouse-brain-atlas,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,Zizhen Yao,Zizhen Yao et al.,2023,Nature,10.1038/s41586-023-06812-z,https://doi.org/10.1038/s41586-023-06812-z,research article,DS020,MERFISH mouse brain,spatial atlas release,not_uploaded; publisher license not individually verified,paper_records/yao-2023-mouse-brain-atlas.md,,2026-08-21
he-2021-cosmx-smi,High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging,Shaojun He,Shaojun He et al.,2021,Nature Biotechnology,10.1038/s41587-021-01006-2,https://doi.org/10.1038/s41587-021-01006-2,technology article,DS021;DS022,CosMx human liver;CosMx human lung,technology and example data source,not_uploaded; publisher license not individually verified,paper_records/he-2021-cosmx-smi.md,,2026-08-21
stoeckius-2017-cite-seq,Simultaneous epitope and transcriptome measurement in single cells,Marlon Stoeckius,Marlon Stoeckius et al.,2017,Nature Methods,10.1038/nmeth.4380,https://doi.org/10.1038/nmeth.4380,technology article,DS026,CITE-seq,technology and original example data,not_uploaded; publisher license not individually verified,paper_records/stoeckius-2017-cite-seq.md,,2026-08-21
finck-2013-cytof-workflow,An Experimentally and Computationally Optimized Mass Cytometry Workflow,Rachel Finck,Rachel Finck et al.,2013,Nature Protocols,10.1038/nprot.2012.026,https://doi.org/10.1038/nprot.2012.026,protocol,DS027,CyTOF,method reference; survey did not identify one unique dataset,not_uploaded; publisher license not individually verified,paper_records/finck-2013-cytof-workflow.md,CyTOF是技术类别；此论文不能被误写成某个唯一评测数据集的采集论文。,2026-08-21
luecken-2021-bmmc-sandbox,"A sandbox for prediction and integration of DNA, RNA, and proteins in single cells",Malte D. Luecken,Malte D. Luecken et al.,2021,NeurIPS Datasets and Benchmarks,,https://datasets-benchmarks-proceedings.neurips.cc/paper_files/paper/2021/hash/158f3069a435b314a80bdcb024f8e422-Abstract-round2.html,benchmark paper,DS029,BMMC,benchmark and dataset release,not_uploaded; publisher license not individually verified,paper_records/luecken-2021-bmmc-sandbox.md,,2026-08-21
mimitou-2021-asap-seq,"Scalable, multimodal profiling of chromatin accessibility, gene expression and protein levels in single cells",Eleni P. Mimitou,Eleni P. Mimitou et al.,2021,Nature Biotechnology,10.1038/s41587-021-00927-2,https://doi.org/10.1038/s41587-021-00927-2,technology article,DS030,ASAP PBMC,technology and original example data,not_uploaded; publisher license not individually verified,paper_records/mimitou-2021-asap-seq.md,,2026-08-21
aissa-2021-lung-cancer-drug-response,Single-cell transcriptional changes associated with drug tolerance and response to combination therapies in cancer,Alex F. Aissa,Alex F. Aissa et al.,2021,Nature Communications,10.1038/s41467-021-21884-z,https://doi.org/10.1038/s41467-021-21884-z,research article,DS031,Human lung cancer drug-response,data generation and drug-response study,not_uploaded; publisher license not individually verified,paper_records/aissa-2021-lung-cancer-drug-response.md,,2026-08-21
sharma-2018-oral-cancer-drug-response,Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy,Ankur Sharma,Ankur Sharma et al.,2018,Nature Communications,10.1038/s41467-018-07261-3,https://doi.org/10.1038/s41467-018-07261-3,research article,DS032,Oral squamous cancer drug-response,data generation and drug-response study,not_uploaded; publisher license not individually verified,paper_records/sharma-2018-oral-cancer-drug-response.md,,2026-08-21
liu-2020-deepcdr,DeepCDR: a hybrid graph convolutional network for predicting cancer drug response,Qiao Liu,Qiao Liu et al.,2020,Bioinformatics,10.1093/bioinformatics/btaa822,https://doi.org/10.1093/bioinformatics/btaa822,method/benchmark article,DS033,CDR / DeepCDR benchmark,benchmark construction and model paper,not_uploaded; publisher license not individually verified,paper_records/liu-2020-deepcdr.md,,2026-08-21
zheng-2023-scad,Enabling Single-Cell Drug Response Annotations from Bulk RNA-Seq Using SCAD,Zetian Zheng,Zetian Zheng et al.,2023,Advanced Science,10.1002/advs.202204113,https://doi.org/10.1002/advs.202204113,method/benchmark article,DS034,SCAD drug-response collection,benchmark construction and model paper,not_uploaded; publisher license not individually verified,paper_records/zheng-2023-scad.md,,2026-08-21
weinstein-2013-tcga-pan-cancer,The Cancer Genome Atlas Pan-Cancer analysis project,John N. Weinstein,John N. Weinstein et al.,2013,Nature Genetics,10.1038/ng.2764,https://doi.org/10.1038/ng.2764,consortium project article,DS035,TCGA,program and pan-cancer data reference,not_uploaded; publisher license not individually verified,paper_records/weinstein-2013-tcga-pan-cancer.md,,2026-08-21
gtex-2020-atlas,The GTEx Consortium atlas of genetic regulatory effects across human tissues,GTEx Consortium,GTEx Consortium et al.,2020,Science,10.1126/science.aaz1776,https://doi.org/10.1126/science.aaz1776,consortium atlas article,DS036,GTEx,atlas and data release,not_uploaded; publisher license not individually verified,paper_records/gtex-2020-atlas.md,,2026-08-21
lotfollahi-2021-scarches,Mapping single-cell data to reference atlases by transfer learning,Mohammad Lotfollahi,Mohammad Lotfollahi et al.,2021,Nature Biotechnology,10.1038/s41587-021-01001-7,https://doi.org/10.1038/s41587-021-01001-7,method/benchmark article,DS037,COVID-19 integration benchmark,integration benchmark and method paper,not_uploaded; publisher license not individually verified,paper_records/lotfollahi-2021-scarches.md,,2026-08-21
franzen-2019-panglaodb,PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data,Oscar Franzén,Oscar Franzén et al.,2019,Database,10.1093/database/baz046,https://doi.org/10.1093/database/baz046,database article,DS038,PanglaoDB downstream collection,database and aggregated data reference,not_uploaded; publisher license not individually verified,paper_records/franzen-2019-panglaodb.md,,2026-08-21
