paper_id,title,year,journal,doi,topic,status,tags
regev-2017-human-cell-atlas,The Human Cell Atlas,2017,eLife,10.7554/eLife.27041,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2017
han-2020-human-cell-landscape,Construction of a human cell landscape at single-cell level,2020,Nature,10.1038/s41586-020-2157-4,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2020
tabula-sapiens-2022,"The Tabula Sapiens: A multiple-organ, single-cell transcriptomic atlas of humans",2022,Science,10.1126/science.abl4896,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2022
tabula-muris-2018,Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris,2018,Nature,10.1038/s41586-018-0590-4,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2018
litvinukova-2020-heart,Cells of the adult human heart,2020,Nature,10.1038/s41586-020-2797-4,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2020
sikkema-2023-lung-atlas,An integrated cell atlas of the lung in health and disease,2023,Nature Medicine,10.1038/s41591-023-02327-2,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2023
adamson-2016-perturb-seq,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response,2016,Cell,10.1016/j.cell.2016.11.048,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2016
norman-2019-perturb-seq,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,2019,Science,10.1126/science.aax4438,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2019
replogle-2022-perturb-seq,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,2022,Cell,10.1016/j.cell.2022.05.013,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2022
dixit-2016-perturb-seq,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,2016,Cell,10.1016/j.cell.2016.11.038,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2016
srivatsan-2020-sci-plex,Massively multiplex chemical transcriptomics at single-cell resolution,2020,Science,10.1126/science.aax6234,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2020
yao-2023-mouse-brain-atlas,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,2023,Nature,10.1038/s41586-023-06812-z,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2023
he-2021-cosmx-smi,High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging,2021,Nature Biotechnology,10.1038/s41587-021-01006-2,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2021
stoeckius-2017-cite-seq,Simultaneous epitope and transcriptome measurement in single cells,2017,Nature Methods,10.1038/nmeth.4380,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2017
finck-2013-cytof-workflow,An Experimentally and Computationally Optimized Mass Cytometry Workflow,2013,Nature Protocols,10.1038/nprot.2012.026,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2013
luecken-2021-bmmc-sandbox,"A sandbox for prediction and integration of DNA, RNA, and proteins in single cells",2021,NeurIPS Datasets and Benchmarks,,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2021
mimitou-2021-asap-seq,"Scalable, multimodal profiling of chromatin accessibility, gene expression and protein levels in single cells",2021,Nature Biotechnology,10.1038/s41587-021-00927-2,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2021
aissa-2021-lung-cancer-drug-response,Single-cell transcriptional changes associated with drug tolerance and response to combination therapies in cancer,2021,Nature Communications,10.1038/s41467-021-21884-z,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2021
sharma-2018-oral-cancer-drug-response,Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy,2018,Nature Communications,10.1038/s41467-018-07261-3,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2018
liu-2020-deepcdr,DeepCDR: a hybrid graph convolutional network for predicting cancer drug response,2020,Bioinformatics,10.1093/bioinformatics/btaa822,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2020
zheng-2023-scad,Enabling Single-Cell Drug Response Annotations from Bulk RNA-Seq Using SCAD,2023,Advanced Science,10.1002/advs.202204113,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2023
weinstein-2013-tcga-pan-cancer,The Cancer Genome Atlas Pan-Cancer analysis project,2013,Nature Genetics,10.1038/ng.2764,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2013
gtex-2020-atlas,The GTEx Consortium atlas of genetic regulatory effects across human tissues,2020,Science,10.1126/science.aaz1776,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2020
lotfollahi-2021-scarches,Mapping single-cell data to reference atlases by transfer learning,2021,Nature Biotechnology,10.1038/s41587-021-01001-7,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2021
franzen-2019-panglaodb,PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data,2019,Database,10.1093/database/baz046,单细胞基础模型相关数据的原始论文,metadata_linked,topic:single-cell;resource:source-paper;status:metadata-linked;year:2019
fang-2025-cell-graph-compass,"Cell-GraphCompass: modeling single cells with graph structure foundation model",2025,National Science Review,10.1093/nsr/nwaf255,"图结构单细胞基础模型、构图先验与扰动预测",data_linked,"topic:single-cell;topic:foundation-model;method:graph-neural-network;model:cell-graph-compass;year:2025;status:data-linked"
peng-2026-stvcr,"stVCR: spatiotemporal dynamics of single cells",2026,Nature Methods,10.1038/s41592-026-03010-3,"单细胞时空动力学、空间对齐与预测",data_linked,"topic:spatial-transcriptomics;topic:spatiotemporal-dynamics;model:stvcr;year:2026;status:data-linked"
lin-2024-sctrans,"SCTrans: Multi-scale scRNA-seq Sub-vector Completion Transformer for Gene-selective Cell Type Annotation",2024,IJCAI 2024,,"scRNA-seq 基因子向量选择与细胞类型注释",data_linked,"topic:single-cell;task:cell-type-annotation;model:sctrans;year:2024;status:data-linked"
yuan-2025-scmamba,"scMamba: A Scalable Foundation Model for Single-Cell Multi-Omics Integration Beyond Highly Variable Feature Selection",2025,arXiv,10.48550/arXiv.2506.20697,"单细胞多组学整合基础模型",partially_linked,"topic:single-cell;topic:multi-omics;model:scmamba;year:2025;status:partially-linked"
hu-2021-spagcn,"SpaGCN: Integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network",2021,Nature Methods,10.1038/s41592-021-01255-8,"整合表达、空间坐标和组织学图像的空间域识别",data_linked,"topic:spatial-transcriptomics;task:spatial-domain;model:spagcn;year:2021;status:data-linked"
zhao-2025-stofm,"SToFM: a Multi-scale Foundation Model for Spatial Transcriptomics",2025,ICML,10.48550/arXiv.2507.11588,"多尺度空间转录组基础模型",data_linked,"topic:spatial-transcriptomics;topic:foundation-model;model:stofm;year:2025;status:data-linked"
hamilton-2017-graphsage,"Inductive Representation Learning on Large Graphs",2017,NeurIPS,,"归纳式图表示学习",partially_downloaded,"topic:graph-learning;model:graphsage;year:2017;status:partially-downloaded"
ding-2025-tabula,"Tabula: A Tabular Self-Supervised Foundation Model for Single-Cell Transcriptomics",2025,NeurIPS,10.52202/085713-3467,"单细胞自监督基础模型",metadata_linked,"topic:single-cell;topic:foundation-model;model:tabula;year:2025;status:metadata-linked"
madhu-2026-heist,"HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data",2026,ICLR,,"空间转录组与蛋白组图基础模型",metadata_linked,"topic:spatial-transcriptomics;topic:proteomics;topic:foundation-model;model:heist;year:2026;status:metadata-linked"
moncada-2020-pdac-st,"Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas",2020,Nature Biotechnology,10.1038/s41587-019-0392-8,"SpaGCN评测数据原始论文：人胰腺癌ST",metadata_linked,"topic:spatial-transcriptomics;organism:human;tissue:pancreas;source:spagcn-benchmark"
maynard-2021-dlpfc,"Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex",2021,Nature Neuroscience,10.1038/s41593-020-00787-0,"SpaGCN评测数据原始论文：人DLPFC",metadata_linked,"topic:spatial-transcriptomics;organism:human;tissue:brain;source:spagcn-benchmark"
stickels-2021-slideseqv2,"Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2",2021,Nature Biotechnology,10.1038/s41587-020-0739-1,"SpaGCN评测数据原始论文：Slide-seqV2",metadata_linked,"topic:spatial-transcriptomics;organism:mouse;technology:slide-seqv2;source:spagcn-benchmark"
wang-2018-starmap,"Three-dimensional intact-tissue sequencing of single-cell transcriptional states",2018,Science,10.1126/science.aat5691,"SpaGCN评测数据原始论文：STARmap",metadata_linked,"topic:spatial-transcriptomics;organism:mouse;technology:starmap;source:spagcn-benchmark"
stahl-2016-spatial-transcriptomics,"Visualization and analysis of gene expression in tissue sections by spatial transcriptomics",2016,Science,10.1126/science.aaf2403,"SpaGCN评测数据原始论文：小鼠嗅球ST",metadata_linked,"topic:spatial-transcriptomics;organism:mouse;tissue:olfactory-bulb;source:spagcn-benchmark"
moffitt-2018-hypothalamus-merfish,"Molecular, spatial, and functional single-cell profiling of the hypothalamic preoptic region",2018,Science,10.1126/science.aau5324,"SpaGCN评测数据原始论文：下丘脑MERFISH",metadata_linked,"topic:spatial-transcriptomics;organism:mouse;tissue:hypothalamus;technology:merfish;source:spagcn-benchmark"
